sku	Name	UPC	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Amazon Price	Currency	Inventory	size	color	parentsku	Parentage	Variation Theme	Relationship Type	Bulletpoints1	Bulletpoints2	Bulletpoints3	Bulletpoints4	Bulletpoints5	weight	Image URL1
JET20477-BLUE	"DoubleBackô 26"" BackPack + Luggage Combo_Blue"	6.67563E+11	A rolling luggage that converts into a backpack AND has a removable day pack to use when you arrive at your destination? CHECK!      The DoubleBack offers packing space few other luggage items can  the upright rolling nag featuring thick padded shoulder straps that allow you to wear it on your back while navigating tricky terrain - and roll out the handle and wheel system when traveling on more stable ground. The removable day back can be anchored on the exterior of the bag providing more packing space  or remove the shoulder straps from the main luggage and attach directly to the smaller pack for an instant day bag whenever you need! The large main compartment on the luggage feature internal mesh pockets for sorting items and compression straps for securing your items down while travelling to eliminate your clothes wrinkling.      The 17L daypack can carry a full sized laptop or a Camelback water system to help you stay hydrated while touring vacation spots (not included).      Main Bag Features:   Zip-away Back-To-Backô Straps with ventilated perforated foam and raised padded back panel for carry comfort  Removable Back-To-Backô Straps transfer from main bag to backpack and feature load lifter straps and sternum strap with safety whistle  Tuck-away hip belt for weight reduction (26‚Äù only)  Built-in durability includes: Bi-Techô reinforcement on high abrasion areas  durable handle system  sturdy wheel housing  and reinforced bartacks  Storm flaps help protect #10 lockable  self-repairing zippers with finger friendly pulls  Exterior compression straps with multiple lash points for securing gear  Deep zippered front pocket for quick access items  Multiple grab handles on top  side  and bottom  Interior compression straps and zippered mesh door panel pocket for organization  Reflective accents for dusk and nighttime visibility  Integrates with Pack-Itô System  Gear Organizers  suggestions included    Modular Backpack Features:   Front pocket with two side...		Eagle Creek	Eagle Creek	355	543.8125	CDN	97		Blue	JET20477-CACTUSprnt	child	color	variation	"Zip-away Back-To-Backô Straps with ventilated perforated foam and raised padded back panel for carry comfort.Removable Back-To-Backô Straps transfer from main bag to backpack and feature load lifter straps and sternum strap with safety whistle.Tuck-away hip belt for weight reduction (26""ù only).Built-in durability includes: Bi-Techô reinforcement on high abrasion areas, durable handle system, sturdy wheel housing, and reinforced bartacks."	"Storm flaps help protect #10 lockable, self-repairing zippers with finger friendly pullsExterior compression straps with multiple lash points for securing gear.Deep zippered front pocket for quick access items.Multiple grab handles on top, side, and bottom.Interior compression straps and zippered mesh door panel pocket for organization.Reflective accents for dusk and nighttime visibility.Integrates with Pack-Itô System  Gear Organizers, suggestions included."	Front pocket with two side mesh pockets for quick stash itemsHydration system compatible: Elasticized slip pocket with hydration tube port.Interior hanging mesh pocket for organization.Back-To-Backô Strap compatibility.Lifetime Warranty.			8500	https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr_separated.jpeg?v=1440035794@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb_handles.jpeg?v=1440035794@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr_front.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-bk.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb_wheeld.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb_open.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr_suspension.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20476-cgr_backpackstraps.jpeg?v=1440035795
JET20477-CACTUS	"DoubleBackô 26"" BackPack + Luggage Combo_Eagle Green"	6.67563E+11	A rolling luggage that converts into a backpack AND has a removable day pack to use when you arrive at your destination? CHECK!      The DoubleBack offers packing space few other luggage items can  the upright rolling nag featuring thick padded shoulder straps that allow you to wear it on your back while navigating tricky terrain - and roll out the handle and wheel system when traveling on more stable ground. The removable day back can be anchored on the exterior of the bag providing more packing space  or remove the shoulder straps from the main luggage and attach directly to the smaller pack for an instant day bag whenever you need! The large main compartment on the luggage feature internal mesh pockets for sorting items and compression straps for securing your items down while travelling to eliminate your clothes wrinkling.      The 17L daypack can carry a full sized laptop or a Camelback water system to help you stay hydrated while touring vacation spots (not included).      Main Bag Features:   Zip-away Back-To-Backô Straps with ventilated perforated foam and raised padded back panel for carry comfort  Removable Back-To-Backô Straps transfer from main bag to backpack and feature load lifter straps and sternum strap with safety whistle  Tuck-away hip belt for weight reduction (26‚Äù only)  Built-in durability includes: Bi-Techô reinforcement on high abrasion areas  durable handle system  sturdy wheel housing  and reinforced bartacks  Storm flaps help protect #10 lockable  self-repairing zippers with finger friendly pulls  Exterior compression straps with multiple lash points for securing gear  Deep zippered front pocket for quick access items  Multiple grab handles on top  side  and bottom  Interior compression straps and zippered mesh door panel pocket for organization  Reflective accents for dusk and nighttime visibility  Integrates with Pack-Itô System  Gear Organizers  suggestions included    Modular Backpack Features:   Front pocket with two side...		Eagle Creek	Eagle Creek	355	543.8125	CDN	97		Eagle Green	JET20477-CACTUSprnt	child	color	variation	"Zip-away Back-To-Backô Straps with ventilated perforated foam and raised padded back panel for carry comfort.Removable Back-To-Backô Straps transfer from main bag to backpack and feature load lifter straps and sternum strap with safety whistle.Tuck-away hip belt for weight reduction (26""ù only).Built-in durability includes: Bi-Techô reinforcement on high abrasion areas, durable handle system, sturdy wheel housing, and reinforced bartacks."	"Storm flaps help protect #10 lockable, self-repairing zippers with finger friendly pullsExterior compression straps with multiple lash points for securing gear.Deep zippered front pocket for quick access items.Multiple grab handles on top, side, and bottom.Interior compression straps and zippered mesh door panel pocket for organization.Reflective accents for dusk and nighttime visibility.Integrates with Pack-Itô System  Gear Organizers, suggestions included."	Front pocket with two side mesh pockets for quick stash itemsHydration system compatible: Elasticized slip pocket with hydration tube port.Interior hanging mesh pocket for organization.Back-To-Backô Strap compatibility.Lifetime Warranty.			8500	https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr_separated.jpeg?v=1440035794@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb_handles.jpeg?v=1440035794@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr_front.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-bk.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb_wheeld.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-sb_open.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20477-cgr_suspension.jpeg?v=1443630717@https://cdn.shopify.com/s/files/1/0918/3750/products/20476-cgr_backpackstraps.jpeg?v=1440035795
JET20353-7062:ECpewterprnt	"Ease 4-Wheeled Upright 22"""	6.67563E+11			Eagle Creek	Eagle Creek								parent	color								
JET20353-7062:ECblack	"Ease 4-Wheeled Upright 22""_Black"	6.67563E+11	A stylish rolling carry-on designed for smooth gliding with four sturdy multidirectional spinner wheels. It has an innovative ‚ÄúCoat Keeper‚Äù that securely straps your bulky outerwear on top of your luggage and tucks into its own storage pocket when not in use. An expandable main zippered compartment adds 15% more packing space so finding room for your travel souvenirs isn't a problem. A large padded front exterior pocket provides full access for a laptop and a smaller zippered one is ideal for quick-stash items like the liquids bag required by airlines.  The Eagle Creek Pack-It System integrates easily to securely organize your personal items and three interior mesh zippered pockets store your belongings where you can see them and find them in a flash. Compression wings are designed to keep the load from shifting during transit. The Ease 22‚Äù Upright is lightweight  durable and fashionable. Now you can travel the globe in style!		Eagle Creek	Eagle Creek	269.99	423.735875	CDN	99		Black	JET20353-7062:ECpewterprnt	child	color	variation	"Carry-on luggage.Expandable main compartment on this rolling travel bag adds 15% more packing space.Lockable, self-repairing zippers on main compartments for travel security.Coat Keeperô securely holds coat on luggage and conveniently stows away in front zippered pocket when not in use.Attached piggyback clip offers add-a-bag versatility.Large exterior front padded zippered compartment.Padded top and side handles for easy grab-and-go.Large interior door panel pocket with zippered mesh pocket."	"Interior vertical compression strapsDurable wheel and handle system for smooth ride.Integrates with the Pack-Itô System, suggestions included.Rugged skid plate and corner bumpers protect bag against urban obstacles.TSA friendly lock included to keep."				8500	https://cdn.shopify.com/s/files/1/0918/3750/products/ease_22_3.jpeg?v=1440028859@https://cdn.shopify.com/s/files/1/0918/3750/products/ease_22_a2_3.jpeg?v=1440028859@https://cdn.shopify.com/s/files/1/0918/3750/products/ease_22_a_3.jpeg?v=1440028859@https://cdn.shopify.com/s/files/1/0918/3750/products/ease_upright_a_12.jpeg?v=1440028859
JET20353-7062:ECpewter	"Ease 4-Wheeled Upright 22""_Pewter"	6.67563E+11	A stylish rolling carry-on designed for smooth gliding with four sturdy multidirectional spinner wheels. It has an innovative ‚ÄúCoat Keeper‚Äù that securely straps your bulky outerwear on top of your luggage and tucks into its own storage pocket when not in use. An expandable main zippered compartment adds 15% more packing space so finding room for your travel souvenirs isn't a problem. A large padded front exterior pocket provides full access for a laptop and a smaller zippered one is ideal for quick-stash items like the liquids bag required by airlines.  The Eagle Creek Pack-It System integrates easily to securely organize your personal items and three interior mesh zippered pockets store your belongings where you can see them and find them in a flash. Compression wings are designed to keep the load from shifting during transit. The Ease 22‚Äù Upright is lightweight  durable and fashionable. Now you can travel the globe in style!		Eagle Creek	Eagle Creek	269.99	423.735875	CDN	0		Pewter	JET20353-7062:ECpewterprnt	child	color	variation	"Carry-on luggage.Expandable main compartment on this rolling travel bag adds 15% more packing space.Lockable, self-repairing zippers on main compartments for travel security.Coat Keeperô securely holds coat on luggage and conveniently stows away in front zippered pocket when not in use.Attached piggyback clip offers add-a-bag versatility.Large exterior front padded zippered compartment.Padded top and side handles for easy grab-and-go.Large interior door panel pocket with zippered mesh pocket."	"Interior vertical compression strapsDurable wheel and handle system for smooth ride.Integrates with the Pack-Itô System, suggestions included.Rugged skid plate and corner bumpers protect bag against urban obstacles.TSA friendly lock included to keep."				8500	https://cdn.shopify.com/s/files/1/0918/3750/products/ease_22_3.jpeg?v=1440028859@https://cdn.shopify.com/s/files/1/0918/3750/products/ease_22_a2_3.jpeg?v=1440028859@https://cdn.shopify.com/s/files/1/0918/3750/products/ease_22_a_3.jpeg?v=1440028859@https://cdn.shopify.com/s/files/1/0918/3750/products/ease_upright_a_12.jpeg?v=1440028859
JET41179	Easy Blink Eyeshade	6.67563E+11	This new super-slim eyeshade is lightweight and washable. Plus it's ‚Äúblink-able‚Äù. Ingenius  right? We know no one likes to feel their eyelashes hit their eyeshade. Made of micro fleece  this ultra comfy eyeshade with Lights Out coverage helps give your eyes the indulgence of luxurious rest and relaxation‚Ä¶		Eagle Creek	Eagle Creek	11	57.9125	CDN	82							An eyeshade with curved shaping for blink-ability and maximum eye comfort.Lights Out coverage.Comfortable adjustable elastic strap for a perfect fit.Washable.					0	https://cdn.shopify.com/s/files/1/0918/3750/products/41179-bk.jpeg?v=1440031911
JET60321prnt	Emerson Carry All	6.67563E+11			Eagle Creek	Eagle Creek								parent	color								
JET60321	Emerson Carry All_Black	6.67563E+11	Keep your laptop AND your tablet safe and organized in this large dual compartment shoulder bag that not only looks great  but helps keep your daily life organized even for an overnight business trip! Sort a change of clothes or (lots) of documents in one of the large main compartments  and keep your laptop and tablets safe in separate padded fleece sleeves. The two exterior pocket can hold your commonly used items or travel necessities like a passport and keep your phone close at hand in the fleece pocket. The back slip panel allows the Emerson to slide over the handle of an upright suitcase.		Eagle Creek	Eagle Creek	169.99	282.485875	CDN	99		Black	JET60321prnt	child	color	variation	"All Ways Secureô:.Anti-Theft: Secure-Zipô toggle closure on main compartments.Digital Safe-Zone: Three padded, e-fleece lined sleeves sized for up to a 17""ù laptop and a tablet, plus an electronics pocket.Personal Safety: Reflective accents for nighttime visibility.Elasticized slip pockets inside main compartment for organization of cords.Zippered front pockets with magnetic flap closure.Lifetime Warranty."					0	https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321167-SPH_Laptop.jpg?v=1446215935@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321010-BK.jpg?v=1446215953@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321167-SPH.jpg?v=1446215979@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML.jpg?v=1446216007@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_OrgPanel.jpg?v=1446216025@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_FrontPockets.jpg?v=1446216047@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_BackSlipPanel.jpg?v=1446216075
JET60321-Camel	Emerson Carry All_Camel	6.67563E+11	Keep your laptop AND your tablet safe and organized in this large dual compartment shoulder bag that not only looks great  but helps keep your daily life organized even for an overnight business trip! Sort a change of clothes or (lots) of documents in one of the large main compartments  and keep your laptop and tablets safe in separate padded fleece sleeves. The two exterior pocket can hold your commonly used items or travel necessities like a passport and keep your phone close at hand in the fleece pocket. The back slip panel allows the Emerson to slide over the handle of an upright suitcase.		Eagle Creek	Eagle Creek	169.99	282.485875	CDN	99		Camel	JET60321prnt	child	color	variation	"All Ways Secureô:.Anti-Theft: Secure-Zipô toggle closure on main compartments.Digital Safe-Zone: Three padded, e-fleece lined sleeves sized for up to a 17""ù laptop and a tablet, plus an electronics pocket.Personal Safety: Reflective accents for nighttime visibility.Elasticized slip pockets inside main compartment for organization of cords.Zippered front pockets with magnetic flap closure.Lifetime Warranty."					0	https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321167-SPH_Laptop.jpg?v=1446215935@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321010-BK.jpg?v=1446215953@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321167-SPH.jpg?v=1446215979@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML.jpg?v=1446216007@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_OrgPanel.jpg?v=1446216025@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_FrontPockets.jpg?v=1446216047@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_BackSlipPanel.jpg?v=1446216075
JET60321-Eagle-Blue	Emerson Carry All_Eagle Blue	6.67563E+11	Keep your laptop AND your tablet safe and organized in this large dual compartment shoulder bag that not only looks great  but helps keep your daily life organized even for an overnight business trip! Sort a change of clothes or (lots) of documents in one of the large main compartments  and keep your laptop and tablets safe in separate padded fleece sleeves. The two exterior pocket can hold your commonly used items or travel necessities like a passport and keep your phone close at hand in the fleece pocket. The back slip panel allows the Emerson to slide over the handle of an upright suitcase.		Eagle Creek	Eagle Creek	169.99	282.485875	CDN	99		Eagle Blue	JET60321prnt	child	color	variation	"All Ways Secureô:.Anti-Theft: Secure-Zipô toggle closure on main compartments.Digital Safe-Zone: Three padded, e-fleece lined sleeves sized for up to a 17""ù laptop and a tablet, plus an electronics pocket.Personal Safety: Reflective accents for nighttime visibility.Elasticized slip pockets inside main compartment for organization of cords.Zippered front pockets with magnetic flap closure.Lifetime Warranty."					0	https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321167-SPH_Laptop.jpg?v=1446215935@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321010-BK.jpg?v=1446215953@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321167-SPH.jpg?v=1446215979@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML.jpg?v=1446216007@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_OrgPanel.jpg?v=1446216025@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_FrontPockets.jpg?v=1446216047@https://cdn.shopify.com/s/files/1/0918/3750/products/EC060321115-CML_BackSlipPanel.jpg?v=1446216075
JET20394-Blackprnt	Flip Switchô Wheeled Backpack 22	6.67563E+11			Eagle Creek	Eagle Creek								parent	color								
JET20394-Black	Flip Switchô Wheeled Backpack 22_Black	6.67563E+11	Innovation redefined. What?! This carry-on sized travel bag has a suspension system in the front? It sure does. We know that most of the time a rolling bag suits travelers' needs just fine  but that every now and then putting a bag on your back sure does have its advantages. Remove the backpack straps and hip belt to make the bag even lighter and maximize the internal capacity. You may have to try it to believe it. Super durable lockable #10 zippers  reinforced material blocking  bumper protection  and sturdy wheel and handle system. This bag is built with the versatile needs of the world traveler in mind. Rolling? Check. Travel backpack? Check. Carry-on? Yep  that too. What's your move?		Eagle Creek	Eagle Creek	299.99	466.110875	CDN	94		Black	JET20394-Blackprnt	child	color	variation	"Lightweight carry-on luggage.Suspension System located in front panel.Zip-away backpack suspension features contoured and detachable 3D Air Mesh shoulder straps and hip belt.Sternum strap with whistle.Hidden quick stash zippered pocket in 3D Air Mesh back panel.Secondary slip pocket behind removable suspension system.#10 lockable, self-repairing zippers with finger friendly zipper pulls on main compartment.Interior compression straps help secure load."	"Large interior and exterior pockets provide organizationDurable wheel and handle system for smooth ride.Built-in durability includes: reinforced hypalon material blocking and bumper protection, sturdy wheel housing, and reinforced bartacks.Reflective accents for dusk and nighttime visibility.ID Tag pocket and contrast accents throughout for easy ID.Integrates with Pack-Itô System  Gear Organizers, suggestions included.Lifetime Warranty."				6700	https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-bk_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-oc_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_back_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspensionoff_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_open_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension2_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_whistle.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_handle.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_reflectivity.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_zipperpulls.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_back.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_wheel.jpeg?v=1440030405
JET20394-Ochre	Flip Switchô Wheeled Backpack 22_Ochre	6.67563E+11	Innovation redefined. What?! This carry-on sized travel bag has a suspension system in the front? It sure does. We know that most of the time a rolling bag suits travelers' needs just fine  but that every now and then putting a bag on your back sure does have its advantages. Remove the backpack straps and hip belt to make the bag even lighter and maximize the internal capacity. You may have to try it to believe it. Super durable lockable #10 zippers  reinforced material blocking  bumper protection  and sturdy wheel and handle system. This bag is built with the versatile needs of the world traveler in mind. Rolling? Check. Travel backpack? Check. Carry-on? Yep  that too. What's your move?		Eagle Creek	Eagle Creek	299.99	466.110875	CDN	97		Ochre	JET20394-Blackprnt	child	color	variation	"Lightweight carry-on luggage.Suspension System located in front panel.Zip-away backpack suspension features contoured and detachable 3D Air Mesh shoulder straps and hip belt.Sternum strap with whistle.Hidden quick stash zippered pocket in 3D Air Mesh back panel.Secondary slip pocket behind removable suspension system.#10 lockable, self-repairing zippers with finger friendly zipper pulls on main compartment.Interior compression straps help secure load."	"Large interior and exterior pockets provide organizationDurable wheel and handle system for smooth ride.Built-in durability includes: reinforced hypalon material blocking and bumper protection, sturdy wheel housing, and reinforced bartacks.Reflective accents for dusk and nighttime visibility.ID Tag pocket and contrast accents throughout for easy ID.Integrates with Pack-Itô System  Gear Organizers, suggestions included.Lifetime Warranty."				6700	https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-bk_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-oc_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_back_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspensionoff_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_open_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension2_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_whistle.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_handle.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_reflectivity.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_zipperpulls.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_back.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_wheel.jpeg?v=1440030405
JET20394-Slate	Flip Switchô Wheeled Backpack 22_Slate	6.67563E+11	Innovation redefined. What?! This carry-on sized travel bag has a suspension system in the front? It sure does. We know that most of the time a rolling bag suits travelers' needs just fine  but that every now and then putting a bag on your back sure does have its advantages. Remove the backpack straps and hip belt to make the bag even lighter and maximize the internal capacity. You may have to try it to believe it. Super durable lockable #10 zippers  reinforced material blocking  bumper protection  and sturdy wheel and handle system. This bag is built with the versatile needs of the world traveler in mind. Rolling? Check. Travel backpack? Check. Carry-on? Yep  that too. What's your move?		Eagle Creek	Eagle Creek	299.99	466.110875	CDN	91		Slate	JET20394-Blackprnt	child	color	variation	"Lightweight carry-on luggage.Suspension System located in front panel.Zip-away backpack suspension features contoured and detachable 3D Air Mesh shoulder straps and hip belt.Sternum strap with whistle.Hidden quick stash zippered pocket in 3D Air Mesh back panel.Secondary slip pocket behind removable suspension system.#10 lockable, self-repairing zippers with finger friendly zipper pulls on main compartment.Interior compression straps help secure load."	"Large interior and exterior pockets provide organizationDurable wheel and handle system for smooth ride.Built-in durability includes: reinforced hypalon material blocking and bumper protection, sturdy wheel housing, and reinforced bartacks.Reflective accents for dusk and nighttime visibility.ID Tag pocket and contrast accents throughout for easy ID.Integrates with Pack-Itô System  Gear Organizers, suggestions included.Lifetime Warranty."				6700	https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-bk_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-oc_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_back_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspensionoff_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_open_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension2_1.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_whistle.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_handle.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_reflectivity.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_zipperpulls.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_back.jpeg?v=1440030405@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_wheel.jpeg?v=1440030405
JET20396-Blackprnt	Flip Switchô Wheeled Backpack 28	6.67563E+11			Eagle Creek	Eagle Creek								parent	color								
JET20396-Black	Flip Switchô Wheeled Backpack 28_Black	6.67563E+11	Innovation redefined. What?! This rolling upright has a suspension system in the front? It sure does. We know that most of the time a rolling bag suits travelers' needs just fine  but that every now and then putting a bag on your back sure does have its advantages. Remove the backpack straps and hip belt to make the bag even lighter and maximize the internal capacity. You may have to try it to believe it. Super durable lockable #10 zippers  reinforced material blocking  bumper protection  and sturdy wheel and handle system. This bag is built with the versatile needs of the world traveler in mind. Rolling? Check. Travel backpack? Check. What's your move?		Eagle Creek	Eagle Creek	329.99	508.485875	CDN	87		Black	JET20396-Blackprnt	child	color	variation	"Suspension System located in front panel.Zip-away backpack suspension features contoured and detachable 3D Air Mesh shoulder straps and hip belt.Sternum strap with whistle.Hidden quick stash zippered pocket in 3D Air Mesh back panel.Secondary slip pocket behind removable suspension system.#10 lockable, self-repairing zippers with finger friendly zipper pulls on main compartment.Interior compression straps help secure load.Large interior and exterior pockets provide organization."	"Durable wheel and handle system for smooth rideBuilt-in durability includes: reinforced hypalon material blocking and bumper protection, sturdy wheel housing, and reinforced bartacks.Reflective accents for dusk and nighttime visibility.ID Tag pocket and contrast accents throughout for easy ID.Integrates with Pack-Itô System  Gear Organizers, suggestions included.Lifetime Warranty."				8600	https://cdn.shopify.com/s/files/1/0918/3750/products/20396-oc_2.jpeg?v=1440030415@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_2.jpeg?v=1440030415@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_back_2.jpeg?v=1440030415@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspensionoff_2.jpeg?v=1440030415@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_open_2.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension2_2.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_suspension_2.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-bk_2.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_handle.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_whistle.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_wheel_1.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20396-sb_zipperpulls.jpeg?v=1440030416@https://cdn.shopify.com/s/files/1/0918/3750/products/20394-sb_reflectivity_1.jpeg?v=1440030416
