SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
BAKHX	KJW Hi-Capa Xcelerator	Based on the SVI Xcelerator, the KJW Hi-Capa Xcelerator (KP-06) is one of the best CO2 powered Race pistols available out of the box! The KJW Xcelerator features a full metal slide and frame, an enlarged magwell and slide catch for increased reload speeds, a skeletonized hammer and trigger, and adjustable rear fiber optic sights. The full metal slide and frame ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The Hi-Capa Xcelerator features an adjustable trigger pull, ambidextrous thumb safety, and a textured grip! The extended mag release button speeds up reload times drastically. The Hi-Capa Xcelerator is not only great for new players, but it competes well with competitive players in the airsoft community. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Adjustable,HammerMetal,Magazine ReleaseMetal,Trigger AssemblyMetal,Accessory RailsNylon Fibre What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x KJW Hi-Capa Xcelerator full metal pistol,1 x 25 round metal CO2 magazine,1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Velocity</span><span class="data">380 FPS</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			219.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/l/e/left-side_2.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/a/n/angled_1_3.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/r/i/right-side_2.jpg	
BAKPEFM	KJW P226 E2 Full Metal	Sporting a full metal frame, realistic blow-back action, and even a small rail, the P226 E2 pistol kicks hard and has a great metal on metal re-cocking noise with each shot! The updated E2 version features a more ergonomic grip and textured grip plates. The metal frame and slide ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The P226 is not just a great purchase for new players, but it competes well with the competitive players in the airsoft community as well. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Magazine ReleaseMetal,Trigger AssemblyMetal,Accessory RailsMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box: 1x KJW P226 E2 full metal,1x 25 round Magazine,1x Sample BBs,1x Loading tool	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Pistol Style</span><span class="data">Sig</span></li><li class=""><span class="label">Velocity</span><span class="data">385FPS</span></li><li class=""><span class="label">Barrel Length</span><span class="data">80mm</span></li><li class=""><span class="label">Overall Length</span><span class="data">19cm</span></li><li class=""><span class="label">Gun Weight</span><span class="data">1Kg</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			209.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/l/e/left-side_1.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/a/n/angled_1_2.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/r/i/right-side_1.jpg	
BAKB9FM	KJW Beretta 92F Full Metal	Sporting a metal slide, and real blow-back action, the Beretta 92F pistol kicks hard and has a great metal on metal re-cocking noise with each shot! The thick metal pistol frame and metal slide ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The Beretta 92F features a rounded hand grip as part of the classic Beretta style. The Beretta is not just a great purchase for new players, but it competes well with the competitive players in the airsoft community as well. Note: This pistol can use both CO2 and Green Gas magazines. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Selector SwitchMetal,Magazine ReleaseMetal,Trigger AssemblyMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x KJW Beretta 92F Full Metal Pistol, 1 x 25 Round Metal CO2 Magazine, 1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Pistol Style</span><span class="data">Beretta</span></li><li class=""><span class="label">Velocity</span><span class="data">389 FPS</span></li><li class=""><span class="label">Barrel Length</span><span class="data">80mm</span></li><li class=""><span class="label">Overall Length</span><span class="data">217mm</span></li><li class=""><span class="label">Gun Weight</span><span class="data">880g</span></li><li class=""><span class="label">Propellant</span><span class="data">Green Gas or CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			199.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_beretta_92f_fullmetal_side.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_beretta_92f_fullmetal_back.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_beretta_92f_fullmetal_angled.jpg	
BAKBEFM	KJW Beretta Elite Full Metal	Sporting a metal slide, and real blow-back action, the Beretta Elite pistol kicks hard and has a great metal on metal re-cocking noise with each shot! The thick metal pistol frame and metal slide ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The Beretta Elite features a squared hand grip, an under-barrel rail mount, a silver outer barrel, and a stylized metal slide. The Beretta is not just a great purchase for new players, but it competes well with the competitive players in the airsoft community as well. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Selector SwitchMetal,Magazine ReleaseMetal,Trigger AssemblyMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x KJW Beretta Elite Full Metal Pistol, 1 x 25 Round Metal CO2 Magazine, 1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Pistol Style</span><span class="data">Beretta</span></li><li class=""><span class="label">Velocity</span><span class="data">384 FPS</span></li><li class=""><span class="label">Barrel Length</span><span class="data">80mm</span></li><li class=""><span class="label">Overall Length</span><span class="data">217mm</span></li><li class=""><span class="label">Gun Weight</span><span class="data">880g</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			199.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_beretta_elite_silver_fullmetal_side.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_beretta_elite_silver_fullmetal_angled.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_beretta_elite_silver_fullmetal_back.jpg	
BASSMBK	Skeleton Sidearms M1911 by KJW	Skeleton Sidearms and KJ Works have teamed up to bring you a stunning new addition to the Canadian Airsoft market! Sporting a full metal frame and slide with realistic blow-back action, the M1911 pistol kicks hard and has a great metal on metal re-cocking noise with each shot! The thick metal pistol frame and metal slide ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The M1911 features the same wood-style grip panels, ambidextrous safety, and sleek slide as the classical M1911. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Magazine ReleaseMetal,Trigger AssemblyMetal,Accessory RailsMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x Skeleton Sidearms/ KJW M1911 Full Metal Pistol, 1 x 25 Round Metal CO2 Magazine, 1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Pistol Style</span><span class="data">1911</span></li><li class=""><span class="label">Velocity</span><span class="data">377 FPS</span></li><li class=""><span class="label">Barrel Length</span><span class="data">115mm</span></li><li class=""><span class="label">Overall Length</span><span class="data">220mm</span></li><li class=""><span class="label">Gun Weight</span><span class="data">820g</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			209.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss_m1911_side.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss_m1911_back.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss_m1911_angled.jpg	
BAK1MFM	KJW 1911 MEU Full Metal	Sporting a full metal slide and frame with realistic blow-back action, the 1911 MEU pistol kicks hard and has a great metal on metal re-cocking noise with each shot! The thick metal pistol frame and metal slide ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The 1911 MEU features an adjustable trigger pull, ambidextrous safety, and wrap-around rubber grips. The 1911 MEU is not only great for new players, but it competes well with competitive players in the airsoft community. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Magazine ReleaseMetal,Trigger AssemblyMetal,Accessory RailsMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x KJW 1911 MEU Full Metal Pistol, 1 x 25 Round Metal CO2 Magazine, 1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Pistol Style</span><span class="data">1911</span></li><li class=""><span class="label">Velocity</span><span class="data">392 FPS</span></li><li class=""><span class="label">Barrel Length</span><span class="data">115mm</span></li><li class=""><span class="label">Overall Length</span><span class="data">220mm</span></li><li class=""><span class="label">Gun Weight</span><span class="data">820g</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			209.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_1911meu_fullmetal_side.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_1911meu_fullmetal_angled.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/k/j/kjw_1911meu_fullmetal_backside.jpg	
BASSSCS	Skeleton Sidearms SS1911 Combat S	Skeleton Sidearms has launched in Canada! Their new line of full metal and full black pistols are a new first for Canadian legal product. The CO2 powered SS1911 Combat is available in both black and silver colors. The SS1911 Combat is a non-blowback, fixed slide pistol. This entire pistol is metal except for the grip plate. This is the silver colored version. The SS1911 Combat features an under barrel rail and working safety switch. The grip plate slides back to reveal the CO2 chamber and integrated magazine. All Skeleton Sidearms pistols have a unique individual serial number. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Trigger AssemblyMetal,Accessory RailsMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x Skeleton Sidearms SS1911 Combat Silver, 1 x Manual, 1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Pistol Style</span><span class="data">1911</span></li><li class=""><span class="label">Velocity</span><span class="data">450 FPS</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">15</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Fixed</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Automatic</span></li><li class=""><span class="label">Blowback</span><span class="data">No</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			129.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss1911combatsilver_side.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss1911combatsilver_lyingdown.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss1911combatsilver_grip.jpg	
BASSCBK	Skeleton Sidearms CZ75 by KJW	Skeleton Sidearms and KJ Works have teamed up to bring you a stunning new addition to the Canadian Airsoft market! Sporting a full metal frame and slide with realistic blow-back action, the CZ75 pistol kicks hard and has a great metal on metal re-cocking noise with each shot! The thick metal pistol frame and metal slide ensure a very solid, hefty weapon that mimics the real weight and feel of its actual real steel counterpart. The Czechoslovakian CZ75 features a slim-line slide, polymer grip panels, a single and double action trigger, as well as a silver outer barrel. Material: ReceiverFull Metal Receiver,SlideMetal,Outer BarrelMetal,SightsMetal, Fixed,HammerMetal,Magazine ReleaseMetal,Trigger AssemblyMetal,Accessory RailsMetal What you will need:  Most commonly used BB, Great initial velocity, Speed will fade quickly over a longer distance What's in the Box:  1 x Skeleton Sidearms/ KJW CZ75 Full Metal Pistol, 1 x 25 Round Metal CO2 Magazine, 1 x Sample pack of BB's	<ul id="product-attribute-specs-table" class="data-table" cellspacing="0"><li class=""><span class="label">Velocity</span><span class="data">377 FPS</span></li><li class=""><span class="label">Barrel Length</span><span class="data">115mm</span></li><li class=""><span class="label">Overall Length</span><span class="data">200mm</span></li><li class=""><span class="label">Gun Weight</span><span class="data">820g</span></li><li class=""><span class="label">Propellant</span><span class="data">CO2</span></li><li class=""><span class="label">Magazine Capacity</span><span class="data">25</span></li><li class=""><span class="label">Hop Up</span><span class="data">Yes, Adjustable</span></li><li class=""><span class="label">Fire Modes</span><span class="data">Semi Auto</span></li><li class=""><span class="label">Blowback</span><span class="data">Yes, Metal Slide</span></li><li class=""><span class="label">Caliber</span><span class="data">6mm</span></li><li class="bl br"><span class="label">Warranty</span><span class="data">30 Days</span></li></ul>			224.99	CDN	Y	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss_cz75_side.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss_cz75_backside.jpg	https://www.buyairsoft.ca/media/catalog/product/cache/1/image/780x439/5e06319eda06f020e43594a9c230972d/s/s/ss_cz75_angled.jpg	
												
