SKU	Product Name	Product Description	Bullet Points	Manufacturer	Brand Name	Price	Currency	In Stock	Image URL	Image URL1	Image URL2	
SOG99160	Agency knife	SOG Agency is 12 1/2&quot; overall with a 7 1/2&quot; satin finish AUS-8 stainless blade. Brown epoxied leather washer handle with stainless guard and pommel. Black leather belt sheath with sharpening stone. First 1,000 pieces are serialized and include Certificate of Authenticity.	<ul><li>Blade Length:7 1/2"</li><li>Blade Edge:Plain</li><li>Blade Material:AUS-8 stainless</li><li>Blade Hardness:RC 57-58</li><li>Overall Length:12 1/2"</li><li>Handle:Brown epoxied leather washer handle</li><li>Sheath:Black leather belt sheath</li><li>Finish:satin finish</li></ul>	SOG	SOG	297.27	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sogagency.jpg			
SOG99582	Sog Demo	The Sog Demo is 11 1/4" overall with a 7 1/4" Black TiNi finish AUS-8 stainless blade. The top of the blade is partially serrated. Black Kraton handle. Black leather belt sheath and sharpening stone are included.	<ul><li>Overall Length:11 1/4â€</li><li>Blade Length:7 1/4â€</li><li>Colour:Partially Serrated</li><li>Steel Edge:AUS-8 Stainless</li></ul>	SOG Knives	SOG Knives	313.27	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99582sogdemo.jpg			
SOG99029	SOG Bowie 2 Leather Handle	SOG Bowie 2 Leather Handle is 11" overall in length with a 6 3/8" Sk-5 carbon steel blade with black TiAIN coating, and a stacked leather handle with black TiAIN coated steel guard and pommel. It has a lanyard and it also comes with a black leather belt sheath with pocket for sharpening stone.	<ul><li>Overall Length:11"</li><li>Blade Length:6 3/8"</li><li>Steel Edge:Sk-5 carbon steel</li><li>Sheath:Black leather belt sheath</li><li>Handle:Stacked leather handle</li></ul>	SOG Knives	SOG Knives	331.93	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99029sogbowie2leatherhandle.jpg			
SOG99161	SOG Agency	SOG Agency is 2 1/2" overall in length with a 7 1/2" AUS-8 stainless blade with black TiNi finish and it has stacked leather handle with black finish stainless guard and pommel. It has a lanyard hole, and it also comes with a black leather belt sheath with a sharpening stone.	<ul><li>Overall Length:12 1/2"</li><li>Blade Length:7 1/2"</li><li>Steel Edge:AUS-8 stainless</li><li>Sheath:Black leather belt sheath</li><li>Finish:Black TiNi finish</li><li>Handle:Stacked leather handle</li><li>Extras:Sharpening stone</li></ul>	SOG Knives	SOG Knives	338.60	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99161sogagency.jpg			
SOG99210	SOG Creed	SOG Creed is 12 3/8" overall with a 7 1/2" AUS-8 stainless blade. Textured black Kraton handle. Stainless guard and pommel. Includes black leather belt sheath.	<ul><li>Overall Length:12 3/8â€</li><li>Blade Length:7 1/2â€</li><li>Steel Edge:AUS-8</li><li>Sheath:Black leather belt sheath</li><li>Handle:Textured black Kraton handle</li></ul>	SOG Knives	SOG Knives	345.27	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99210sogcreed.jpg			
SOG99063	SOG Tom Cat	SOG Tomcat 3.0. 4 3/4 inch closed linerlock. VG-10 stainless blade with dual thumb studs. Features the ARC-Lock blade opening mechanism which allows for fast, ambidextrous, one-handed opening and closing. Black Kraton handles. Stainless bolster. Lanyard hole. Black nylon belt sheath. SOG 20th anniversary updated version of the classic Tomcat which won the 1988 Blade Magazine knife of the year.	<ul><li>Blade Length:2 1/8"</li><li>Blade Edge:Standard edge</li><li>Blade Material:AUS-8 stainless</li><li>Blade Hardness:Rockwell 57-58</li><li>Overall Length:4 3/4" closed</li><li>Handle:black kraton</li></ul>	SOG	SOG	373.27	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sogtomcat.jpg			
SOG99211	SOG Creed	SOG Creed 12 3/8" overall with a 7 1/2" black Ti-Ni finish AUS-8 stainless blade. Textured black Kraton handle. Black finish stainless guard and pommel. Includes black leather belt sheath.	<ul><li>Overall Length:12 3/8â€</li><li>Blade Length:7 1/2â€</li><li>Steel Edge:AUS-8 Stainless</li><li>Sheath:Black Leather</li><li>Finish:Ti-Ni</li><li>Handle:Black Kraton</li></ul>	SOG Knives	SOG Knives	379.93	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99211sogcreed.jpg			
SOG99481	SOG Forge	The SOG Forge is 10 7/8" overall with a 6" satin finish VG-10 San Mai steel clip point blade with a partial hammer forged design. Hardened to HRC 59-60, full tang. Thumb ridge, black GRN handles with lanyard hole. Black leather belt sheath with a colorful stitched canvas insert.	<ul><li>Overall Length:10 7/8â€</li><li>Blade Length:6â€</li><li>Blade:Clip point partial hammer forged design</li><li>Steel Edge:VG-10 San Mai steel</li><li>Sheath:Black leather</li><li>Finish:Satin finish</li><li>Handle:GRN</li></ul>	SOG Knives	SOG Knives	485.27	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99481sogforge.jpg			
SOG99060	SOG Arcitech Folder	The SOG Arcitech Folder is a 4 1/2" closed linerlock Mirror polished San Mai VG-10 core laminated with 420 J2 stainless blade and abalone jeweled thumb stud. Jigged bone handles with titanium bolster and Arc-Lock blade locking system. Stainless pocket clip. Limited production.	<ul><li>Closed Length:4 1/2â€</li><li>Blade:J2 stainless</li><li>Steel Edge:San Mai VG-10 core laminated</li><li>Handle:Jigged bone</li><li>Clip:Stainless</li></ul>	SOG Knives	SOG Knives	682.60	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99060sogarcitechfolder.jpg			
SOG99132	SOG FatCat.	5" closed. Dual tone TiNi coated VG-10 stainless blade with thumb studs. Once started, the gigantic blade effortlessly spins open and locks up with the Arc-Lock. Solid machined titanium handles with Kraton rubber onlay. Lanyard hole. Black nylon clip sheath. Limited production.	<ul><li>Closed Length:5"</li><li>Steel Edge:VG-10 stainless</li><li>Sheath:Black nylon clip sheath</li><li>Handle:Solid machined titanium handles</li></ul>	SOG Knives	SOG Knives	825.27	CDN	Y	http://www.knifezone.ca/pictures/sog/images/sog99132sogfatcat.jpg			
